,Line #,Part #,2021 List Price1,equipdirectcost1,25 Percent Profit Margin1,Line #.1,Part #.1,2021 List Price2,equipdirectcost2,25 Percent Profit Margin2,Line #.2,Part #.2,2021 List Price3,equipdirectcost3,25 Percent Profit Margin3
202,242,7083B3X,394.5,248.535,331.38,309,7087BFDS,287,180.81,241.08,334,7089BQM,387.5,244.125,325.5
203,245,7083BFDL,398.5,251.055,334.74,312,7087BFDXL,287,180.81,241.08,333,7089BQS,387.5,244.125,325.5
204,336,7089BQXL,387.5,244.125,325.5,815,7120,41,25.83,34.44,980,72706SA5,185.5,116.865,155.82
205,327,7089BS,353,222.39,296.52,105,7214,26.5,16.695,22.26,981,72706SA6,170,107.1,142.8
206,330,7089BXL,353,222.39,296.52,107,7218,28.5,17.955,23.94,982,72706SB1,173,108.99,145.32
207,149,70902X,52.5,33.075,44.1,106,7218LT,24.5,15.435,20.58,983,72706SB2,193.5,121.905,162.54
208,150,70903X,52.5,33.075,44.1,108,7224,28.5,17.955,23.94,984,72706SB3,196.5,123.795,165.06
209,147,7090L,52.5,33.075,44.1,110,722448,31.5,19.845,26.46,985,72706SB4,188.5,118.755,158.34
210,146,7090M,52.5,33.075,44.1,1074,7226C,576.5,363.195,484.26,986,72706SB5,209,131.67,175.56
211,145,7090S,52.5,33.075,44.1,1066,7226CLE,637,401.31,535.08,987,72706SB6,193.5,121.905,162.54
212,148,7090XL,52.5,33.075,44.1,1075,7227C,583.5,367.605,490.14,988,72706SG5,219,137.97,183.96
213,328,7092BL,281.5,177.345,236.46,1067,7227CLE,667.5,420.525,560.7,989,72706SG6,201.5,126.945,169.26
214,327,7092BM,281.5,177.345,236.46,1084,7227CS,537,338.31,451.08,990,72706TB1,329,207.27,276.36
215,326,7092BS,281.5,177.345,236.46,1088,7227CSS,673.5,424.305,565.74,991,72706TB2,370,233.1,310.8
216,329,7092BXL,281.5,177.345,236.46,1076,7229C,626.5,394.695,526.26,992,72706TB3,373,234.99,313.32
217,332,7093BL,265,166.95,222.6,1077,7232C,640.5,403.515,538.02,993,72706TB4,357.5,225.225,300.3
218,331,7093BM,265,166.95,222.6,1068,7232CLE,718,452.34,603.12,994,72706TB5,400,252,336
219,330,7093BS,265,166.95,222.6,1085,7232CS,688.5,433.755,578.34,995,72706TB6,367,231.21,308.28
220,333,7093BXL,265,166.95,222.6,1089,7232CSS,811.5,511.245,681.66,996,72706TH1,357.5,225.225,300.3
221,595,70942X,61.5,38.745,51.66,109,7236,30.5,19.215,25.62,997,72706TH3,404,254.52,339.36
222,596,70943X,61.5,38.745,51.66,112,7244,129,81.27,108.36,998,72706TH5,427.5,269.325,359.1
223,597,70944X,61.5,38.745,51.66,113,7245,72.5,45.675,60.9,111,7272,33.5,21.105,28.14
224,593,7094L,61.5,38.745,51.66,114,72493FT,79.5,50.085,66.78,903,7275,1810.5,1140.615,1520.82
225,592,7094M,61.5,38.745,51.66,115,72494FT,101,63.63,84.84,910,7275LC,26,16.38,21.84
226,591,7094S,61.5,38.745,51.66,116,72496FT,140,88.2,117.6,904,7276,1256,791.28,1055.04
227,594,7094XL,61.5,38.745,51.66,1079,7265C,796,501.48,668.64,1083,7276100,1282.5,807.975,1077.3
228,590,7094XS,61.5,38.745,51.66,1070,7265CLE,924,582.12,776.16,1080,727620,422.5,266.175,354.9
229,604,70953X,52,32.76,43.68,1087,7265CS,873,549.99,733.32,1071,727620LE,556.5,350.595,467.46
230,605,70954X,52,32.76,43.68,1091,7265CSS,895,563.85,751.8,1081,727630,469,295.47,393.96
231,601,7095L,52,32.76,43.68,1078,7268C,777,489.51,652.68,1072,727630LE,572,360.36,480.48
232,600,7095M,52,32.76,43.68,1069,7268CLE,837,527.31,703.08,1082,727650,639,402.57,536.76
233,599,7095S,52,32.76,43.68,1086,7268CS,738,464.94,619.92,1073,727650LE,703.5,443.205,590.94
234,602,7095XL,52,32.76,43.68,1090,7268CSS,869.5,547.785,730.38,1065,7276BWR,381,240.03,320.04
235,598,7095XS,52,32.76,43.68,977,72706SA1,150.5,94.815,126.42,953,7277,3230,2034.9,2713.2
236,603,7095XX,52,32.76,43.68,978,72706SA3,174,109.62,146.16,954,7278,3590,2261.7,3015.6
237,334,7099B2X,311,195.93,261.24,979,72706SA4,166,104.58,139.44,955,7281,1769.5,1114.785,1486.38
238,958,7281DG,1795.5,1131.165,1508.22,127,737230,100.5,63.315,84.42,80,7434S,27,17.01,22.68
239,959,7281DS,1811.5,1141.245,1521.66,123,7373,49,30.87,41.16,38,7435,50,31.5,42
240,960,7281DT,2050,1291.5,1722,33,7393,81,51.03,68.04,39,7435H,49,30.87,41.16
241,956,7281S,1780,1121.4,1495.2,36,7393P,72.5,45.675,60.9,15,7436,9.5,5.985,7.98
242,957,7281SS,1811.5,1141.245,1521.66,34,7393S,86,54.18,72.24,66,7437,50,31.5,42
243,961,7281TT,2000,1260,1680,37,7393S1,9,5.67,7.56,65,74373FT,49,30.87,41.16
244,907,7286B,229,144.27,192.36,35,7393W,150,94.5,126,67,7438,52,32.76,43.68
245,1031,72906SC1,245,154.35,205.8,83,7395A,262.5,165.375,220.5,68,743808,54,34.02,45.36
246,1032,72906SC3,306,192.78,257.04,85,7395C,336.5,211.995,282.66,69,743810,56.5,35.595,47.46
247,1033,72906SC3S,304.5,191.835,255.78,84,7395D,185.5,116.865,155.82,70,743820,71,44.73,59.64
248,1034,72906SC5,329,207.27,276.36,86,7395E,247,155.61,207.48,10,7440,143,90.09,120.12
249,1035,72906SC6,260.5,164.115,218.82,44,7402,25,15.75,21,11,7440S,158,99.54,132.72
250,1036,72906TB1,443.5,279.405,372.54,45,7403,30.5,19.215,25.62,12,7441,277,174.51,232.68
251,1037,72906TB3,561,353.43,471.24,46,7407,36.5,22.995,30.66,13,7442,170,107.1,142.8
252,1038,72906TB5,592.5,373.275,497.7,40,7408,68.5,43.155,57.54,73,7444,8.5,5.355,7.14
253,1039,72906TB6,469.5,295.785,394.38,71,7410,33,20.79,27.72,74,744410,74,46.62,62.16
254,905,7291A,110.5,69.615,92.82,72,7410M,43,27.09,36.12,16,7448,10.5,6.615,8.82
255,906,7291B,110.5,69.615,92.82,41,7414,30,18.9,25.2,21,744850,320,201.6,268.8
256,967,7293M,576.5,363.195,484.26,42,7414P,28,17.64,23.52,19,7448L,8.5,5.355,7.14
