Line #,Part #,2021 List Price1,Line #,Part #,2021 List Price2,Line #,Part #,2021 List Price3
340,7047QCL,407.5,164,7073B2X,104.5,250,7080LX,229
339,7047QCM,407.5,165,7073BDL/X,146,254,7080MFD,238
338,7047QCS,407.5,163,7073BLX,103.5,253,7080SFD,238
341,7047QCXL,407.5,162,7073BSM,103.5,249,7080SM,229
346,7047RL,422,194,7073LX,99.5,256,7080XLFD,238
345,7047RM,422,193,7073SM,99.5,262,70812X,283
344,7047RS,422,167,7074BLX,105.5,269,70812XFD,290
347,7047RXL,422,166,7074BSM,105.5,272,70812XRD,298
337,7047XL,354,508,7078B2X,120.5,263,70813X,284
552,7048L,307,509,7078B3X,121.5,216,7081B2X,381
551,7048M,307,506,7078BLX,119.5,217,7081B3X,382
550,7048S,307,507,7078BSM,119.5,220,7081BFDL,389
553,7048XL,307,512,7079B2X,115.5,219,7081BFDM,389
348,7049,185,511,7079BLX,114.5,218,7081BFDS,389
349,7051,166,510,7079BSM,114.5,221,7081BFDXL,389
539,7052B,358,251,70802X,230,214,7081BL,380
540,7052C,367.5,257,70802XFD,239,213,7081BM,380
136,70552X,48.5,252,70803X,231,212,7081BS,380
134,7055L,48.5,258,70803XFD,240,215,7081BXL,380
133,7055M,48.5,201,7080B2X,300,211,7081BXS,380
132,7055S,48.5,209,7080B3DL,310,267,7081LFD,289
135,7055XL,48.5,208,7080B3DM,310,261,7081LX,282
271,7081LXRD,297,244,7083BFDM,398.5,302,7087BL,270
266,7081MFD,289,243,7083BFDS,398.5,301,7087BM,270
265,7081SFD,289,246,7083BFDXL,398.5,308,7087BQ2X,306
260,7081SM,282,239,7083BL,392.5,306,7087BQL,304.5
270,7081SMRD,297,238,7083BM,392.5,305,7087BQM,304.5
268,7081XLFD,289,237,7083BS,392.5,304,7087BQS,304.5
259,7081XS,282,240,7083BXL,392.5,307,7087BQXL,304.5
264,7081XSFD,289,236,7083BXS,392.5,300,7087BS,270
276,70822X,241,285,7083LFD,305,303,7087BXL,270
277,70823X,242,279,7083LX,291,317,7088B2X,337.5
226,7082B2X,310,284,7083MFD,305,318,7088B3X,338.5
234,7082B3DL,324.5,283,7083SFD,305,325,7088BFDL,352
233,7082B3DM,324.5,286,7083XLFD,305,324,7088BFDM,352
232,7082B3DS,324.5,557,7084L,491,323,7088BFDS,352
235,7082B3DXL,324.5,556,7084M,491,326,7088BFDXL,352
227,7082B3X,311,555,7084S,491,315,7088BL,336
230,7082BFDL,324.5,558,7084XL,491,314,7088BM,336
229,7082BFDM,324.5,291,7086B2X,254.5,321,7088BRL,360.5
228,7082BFDS,324.5,298,7086BFDL,268,320,7088BRM,360.5
231,7082BFDXL,324.5,297,7086BFDM,268,319,7088BRS,360.5
224,7082BL,309,296,7086BFDS,268,322,7088BRXL,360.5
223,7082BM,309,299,7086BFDXL,268,313,7088BS,336
222,7082BS,309,289,7086BL,253.5,316,7088BXL,336
225,7082BXL,309,288,7086BM,253.5,331,7089B2X,354
281,7082LFD,249,294,7086BRL,276.5,332,7089B3X,355
275,7082LX,240,293,7086BRM,276.5,339,7089BFDL,370
280,7082MFD,249,292,7086BRS,276.5,338,7089BFDM,370
278,7082SFD,249,295,7086BRXL,276.5,337,7089BFDS,370
274,7082SM,240,287,7086BS,253.5,325,7089BFDXL,370
282,7082XLFD,249,290,7086BXL,253.5,329,7089BL,353
273,7082XS,240,311,7087BFDL,287,328,7089BM,353
241,7083B2X,393.5,310,7087BFDM,287,335,7089BQL,387.5
242,7083B3X,394.5,309,7087BFDS,287,334,7089BQM,387.5
245,7083BFDL,398.5,312,7087BFDXL,287,333,7089BQS,387.5
336,7089BQXL,387.5,815,7120,41,980,72706SA5,185.5
327,7089BS,353,105,7214,26.5,981,72706SA6,170
330,7089BXL,353,107,7218,28.5,982,72706SB1,173
149,70902X,52.5,106,7218LT,24.5,983,72706SB2,193.5
150,70903X,52.5,108,7224,28.5,984,72706SB3,196.5
147,7090L,52.5,110,722448,31.5,985,72706SB4,188.5
146,7090M,52.5,1074,7226C,576.5,986,72706SB5,209
145,7090S,52.5,1066,7226CLE,637,987,72706SB6,193.5
148,7090XL,52.5,1075,7227C,583.5,988,72706SG5,219
328,7092BL,281.5,1067,7227CLE,667.5,989,72706SG6,201.5
327,7092BM,281.5,1084,7227CS,537,990,72706TB1,329
326,7092BS,281.5,1088,7227CSS,673.5,991,72706TB2,370
329,7092BXL,281.5,1076,7229C,626.5,992,72706TB3,373
332,7093BL,265,1077,7232C,640.5,993,72706TB4,357.5
331,7093BM,265,1068,7232CLE,718,994,72706TB5,400
330,7093BS,265,1085,7232CS,688.5,995,72706TB6,367
333,7093BXL,265,1089,7232CSS,811.5,996,72706TH1,357.5
595,70942X,61.5,109,7236,30.5,997,72706TH3,404
596,70943X,61.5,112,7244,129,998,72706TH5,427.5
597,70944X,61.5,113,7245,72.5,111,7272,33.5
593,7094L,61.5,114,72493FT,79.5,903,7275,1810.5
592,7094M,61.5,115,72494FT,101,910,7275LC,26
591,7094S,61.5,116,72496FT,140,904,7276,1256
594,7094XL,61.5,1079,7265C,796,1083,7276100,1282.5
590,7094XS,61.5,1070,7265CLE,924,1080,727620,422.5
604,70953X,52,1087,7265CS,873,1071,727620LE,556.5
605,70954X,52,1091,7265CSS,895,1081,727630,469
601,7095L,52,1078,7268C,777,1072,727630LE,572
600,7095M,52,1069,7268CLE,837,1082,727650,639
599,7095S,52,1086,7268CS,738,1073,727650LE,703.5
602,7095XL,52,1090,7268CSS,869.5,1065,7276BWR,381
598,7095XS,52,977,72706SA1,150.5,953,7277,3230
603,7095XX,52,978,72706SA3,174,954,7278,3590
334,7099B2X,311,979,72706SA4,166,955,7281,1769.5
958,7281DG,1795.5,127,737230,100.5,80,7434S,27
959,7281DS,1811.5,123,7373,49,38,7435,50
960,7281DT,2050,33,7393,81,39,7435H,49
956,7281S,1780,36,7393P,72.5,15,7436,9.5
957,7281SS,1811.5,34,7393S,86,66,7437,50
961,7281TT,2000,37,7393S1,9,65,74373FT,49
907,7286B,229,35,7393W,150,67,7438,52
1031,72906SC1,245,83,7395A,262.5,68,743808,54
1032,72906SC3,306,85,7395C,336.5,69,743810,56.5
1033,72906SC3S,304.5,84,7395D,185.5,70,743820,71
1034,72906SC5,329,86,7395E,247,10,7440,143
1035,72906SC6,260.5,44,7402,25,11,7440S,158
1036,72906TB1,443.5,45,7403,30.5,12,7441,277
1037,72906TB3,561,46,7407,36.5,13,7442,170
1038,72906TB5,592.5,40,7408,68.5,73,7444,8.5
1039,72906TB6,469.5,71,7410,33,74,744410,74
905,7291A,110.5,72,7410M,43,16,7448,10.5
906,7291B,110.5,41,7414,30,21,744850,320
967,7293M,576.5,42,7414P,28,19,7448L,8.5
968,7295M,613.5,43,7414SS,40.5,22,7448L50,236
962,7297,671,908,7421,31,23,7451A,57.5
963,7297S,692,14,7425,8.5,27,7451A1,23.5
964,7297T,749,60,7427,51,29,7451A10,183
965,7298,702.5,64,742712,58.5,28,7451A5,100
966,7298S,729,61,7428,53,25,7451AC,48
117,7324,33,62,742808,55.5,24,7451C,106.5
118,7336,34,63,742810,57.5,30,7451C1,62.5
119,7348,36.5,81,7429SS,44.5,32,7451C10,467.5
120,7372,38.5,82,7429SSK,58,31,7451C5,275.5
121,737208,43,78,7431,33,26,7452AC,82
122,737210,45.5,77,7432,455.5,128,7460A,430.5
124,737214,55.5,1121,7432502,1318.5,129,7465A,430
125,737220,72.5,1122,7432602K,1335,1018,74709SA8,214.5
126,737224,80.5,79,7434,28,1019,74709SB8,235.5
1020,74709SG8,244,5,7534,255.5,561,8001BL,414
